title,type,description,tags
AP Computer Science,Course,Intro programming with Java,"CS,STEM"
Science Olympiad,Competition,Team-based science challenges,"STEM,team"
AI4ALL Summer Program,Program,High school summer AI camp,"AI,summer"
Model UN,Club,Global policy simulation,"politics,speaking"
Debate Team,Club,Competitive debate and logic,public speaking
AP Biology,Course,Intro college-level biology,"Biology,STEM"
AP Chemistry,Course,Intro college-level chemistry,"Chemistry,STEM"
AP Physics C,Course,Mechanics and/or E&M,"Physics,STEM"
AP Environmental Science,Course,Human impact on the environment,"Environment,STEM"
AP Calculus AB,Course,Differential and integral calculus,"Math,Calculus"
AP Calculus BC,Course,Expanded calculus course,"Math,Calculus"
AP Statistics,Course,Intro to probability and statistics,"Math,Stats"
AP US History,Course,Comprehensive US History,"History,Social Studies"
AP World History,Course,Global historical trends,"History,Social Studies"
AP US Government,Course,US political systems,"Government,Civics"
AP Macroeconomics,Course,Economic principles on a macro scale,"Economics,Social Studies"
AP Microeconomics,Course,Economic behavior of individuals,"Economics,Social Studies"
AP Psychology,Course,Intro to psychology,"Psychology,Social Studies"
AP English Language,Course,Argument and rhetoric,"English,Language"
AP English Literature,Course,Analysis of literature,"English,Literature"
AP Art History,Course,Study of visual arts,"Art,Humanities"
AP Music Theory,Course,Fundamentals of music,"Music,Arts"
Regeneron ISEF,Activity,Top international science fair,"Science,Research,Competition"
USACO,Activity,USA Computing Olympiad,"CS,Competition,Olympiad"
Math Olympiad,Competition,Math problem solving competitions,"Math,Olympiad"
American Invitational Math Exam (AIME),Activity,Advanced math competition following AMC,"Math,Competition"
Science Bowl,Activity,Fast-paced science buzzer competition,"STEM,Competition"
Academic Decathlon,Activity,Multi-subject academic competition,"Academic,Competition"
HackMIT,Activity,Student-run hackathon,"Hackathon,CS,Innovation"
PennApps,Activity,University of Pennsylvania hackathon,"Hackathon,CS,Innovation"
Google Code-In,Activity,Coding contest for pre-university students,"CS,Competition"
MITES,Activity,MIT summer program for underrepresented students,"STEM,Diversity,Summer"
TASP (Telluride Association Summer Program),Program,Academic summer seminar,"Humanities,Leadership"
RSI (Research Science Institute),Activity,MIT-based elite research program,"Research,STEM,Summer"
YYGS (Yale Young Global Scholars),Activity,Global leadership and academic summer program,"Humanities,STEM,Leadership"
Governor’s School,Program,Summer enrichment for talented students,"Governor's School,GA,Gifted"
FBLA,Activity,Future Business Leaders of America,"Business,Leadership"
DECA,Activity,Business and entrepreneurship club,"Business,Marketing,Leadership"
HOSA,Activity,Health Occupations Students of America,"Healthcare,Medicine,Leadership"
Key Club,Club,Community service club,"Service,Leadership"
National Honor Society,Activity,Recognizing student achievement,"Academics,Leadership"
Basketball,Activity,Team sport focusing on agility and coordination,"Sports,Teamwork"
Soccer,Activity,Team sport with strategy and endurance,"Sports,Teamwork"
Track and Field,Activity,Athletics events,"Sports,Individual"
Tennis,Activity,Racquet sport emphasizing precision,"Sports,Individual"
Anson L. Clark Scholars Program,Program,Texas Tech University summer research program for high school juniors and seniors,"Research,STEM,Humanities"
